index,title,quality,genere,imdb
323,A Countess from Hong Kong,HD,Romance|Comedy,6.1
324,A Country Called Home,SD,Drama,7.1
325,A Country Wedding,SD,Drama|Family|Romance,7.8
326,A Cowgirl's Story,HD,Family,7.2
327,A Crime to Remember - Season 1,Eps6/6,Crime|Documentary,8.5
328,A Crime to Remember - Season 2,Eps8/8,Crime|Documentary,8.5
329,A Crime to Remember - Season 3,Eps8/8,Crime|Documentary,8.5
330,A Crime to Remember - Season 4,Eps8/8,Crime|Documentary,8.6
331,A Crush On You,HD,Comedy,6.1
332,A Cry in the Dark,HD,Drama,6.9
333,A Cure for Wellness,HD,Drama|Horror|Fantasy,6.6
334,A Dangerous Method,HD,Thriller|Drama|Biography,6.5
335,A Dark Reflection,HD,Thriller,5.6
336,A Dark Song,HD,Drama|Horror,6.6
337,A Dash Of Love,HD,Romance|Comedy,7.4
338,A Date For Mad Mary,SD,Comedy|Drama,7.9
339,A Date To Die For,HD,Drama,5.9
340,A Date with Miss Fortune,HD,Romance|Comedy,5.7
341,A Daughter's Nightmare,SD,Thriller|Drama|Mystery,6
342,A Day Without A Mexican,SD,Comedy|Drama|Fantasy,4.7
343,A Deadly Adoption,HD,Thriller|Drama,5.2
344,A Deadly Affair,HD,Thriller,5.9
345,A December Bride,HD,Romance,7.6
346,A Decent Man,SD,Drama,7.3
347,A Dog's Purpose,HD,Adventure|Crime|Drama,4.6
348,A Doggone Christmas,SD,Family,4.8
349,A Dozen Summers,SD,Comedy|Family|Drama,6.9
350,A Dream Of Christmas,HD,Family,7.3
351,A Family Man,HD,Drama,6.5
352,A Fantastic Fear of Everything,HD,Comedy,5.9
353,A Far Off Place,HD,Adventure|Family|Drama,6.6
354,A Farewell to Arms,HD,Romance|War|Drama,5.9
355,A Faster Horse,HD,Documentary,7.6
356,A Fatal Obsession,SD,Thriller,4.8
357,A Few Best Men,HD,Comedy|Romance,5.8
358,A Few Good Men,HD,Thriller|Drama,7.6
